instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.seed,time,resets,unused.vehi,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_400_80_34_1.0_R_RC,1.0_R_RC,34,400,80,1.0,R,RC,1,44.0,0,0,1632.3,4877.0,10.0,10.0
HHCRSP_400_80_27_0.4_R_RC,0.4_R_RC,27,400,80,0.4,R,RC,1,42.9,0,1,1837.3,5501.0,8.0,3.0
HHCRSP_400_80_80_1.0_C_RC,1.0_C_RC,80,400,80,1.0,C,RC,1,45.3,0,7,1883.0,5645.0,2.0,2.0
HHCRSP_400_80_1_1.6_R_C,1.6_R_C,1,400,80,1.6,R,C,1,50.4,0,1,1148.7,3446.0,0.0,0.0
HHCRSP_400_80_97_0.4_C_RC,0.4_C_RC,97,400,80,0.4,C,RC,1,48.3,0,8,1707.0,5103.0,12.0,6.0
HHCRSP_400_80_75_0.8_C_C,0.8_C_C,75,400,80,0.8,C,C,1,41.5,0,15,1685.0,5034.0,18.0,3.0
HHCRSP_400_80_89_0.8_R_RC,0.8_R_RC,89,400,80,0.8,R,RC,1,42.0,0,14,3179.3,9470.0,57.0,11.0
HHCRSP_400_80_15_0.4_C_C,0.4_C_C,15,400,80,0.4,C,C,1,41.1,0,8,1998.3,5978.0,15.0,2.0
HHCRSP_400_80_66_0.8_R_C,0.8_R_C,66,400,80,0.8,R,C,1,48.4,0,1,1269.7,3796.0,10.0,3.0
HHCRSP_400_80_5_1.0_C_C,1.0_C_C,5,400,80,1.0,C,C,1,38.0,0,15,1525.0,4549.0,21.0,5.0
HHCRSP_400_80_93_1.6_R_C,1.6_R_C,93,400,80,1.6,R,C,1,41.8,1,1,1632.0,4874.0,16.0,6.0
HHCRSP_400_80_28_0.8_C_RC,0.8_C_RC,28,400,80,0.8,C,RC,1,42.7,0,10,1872.3,5597.0,15.0,5.0
HHCRSP_400_80_97_1.6_R_C,1.6_R_C,97,400,80,1.6,R,C,1,46.8,0,17,2165.3,6421.0,56.0,19.0
HHCRSP_400_80_25_1.2_C_C,1.2_C_C,25,400,80,1.2,C,C,1,37.1,0,9,1240.7,3711.0,9.0,2.0
HHCRSP_400_80_69_1.0_R_C,1.0_R_C,69,400,80,1.0,R,C,1,45.1,0,11,1607.3,4797.0,19.0,6.0
HHCRSP_400_80_12_1.0_C_RC,1.0_C_RC,12,400,80,1.0,C,RC,1,49.3,0,12,1655.0,4953.0,7.0,5.0
HHCRSP_400_80_87_1.0_C_RC,1.0_C_RC,87,400,80,1.0,C,RC,1,42.2,0,13,1886.7,5639.0,18.0,3.0
HHCRSP_400_80_87_1.0_C_C,1.0_C_C,87,400,80,1.0,C,C,1,42.5,0,18,1725.0,5160.0,10.0,5.0
HHCRSP_400_80_62_0.4_R_C,0.4_R_C,62,400,80,0.4,R,C,1,41.5,0,2,1686.3,5049.0,5.0,5.0
HHCRSP_400_80_98_1.6_R_RC,1.6_R_RC,98,400,80,1.6,R,RC,1,42.3,0,0,1618.0,4827.0,22.0,5.0
HHCRSP_400_80_11_1.6_C_C,1.6_C_C,11,400,80,1.6,C,C,1,49.3,0,18,1472.0,4405.0,9.0,2.0
HHCRSP_400_80_53_0.8_C_RC,0.8_C_RC,53,400,80,0.8,C,RC,1,45.7,0,8,2001.0,5982.0,17.0,4.0
HHCRSP_400_80_28_1.0_C_RC,1.0_C_RC,28,400,80,1.0,C,RC,1,43.0,0,7,1775.3,5318.0,5.0,3.0
HHCRSP_400_80_72_1.2_C_C,1.2_C_C,72,400,80,1.2,C,C,1,43.1,0,16,1523.0,4552.0,13.0,4.0
