instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.iters,time,memory.mb,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_10_3_55_1.2_C_C,1.2_C_C,55,10,3,1.2,C,C,1,0.004,14.2402,38.3417,115.025,0,0
HHCRSP_10_3_20_1.0_R_RC,1.0_R_RC,20,10,3,1.0,R,RC,62,0.004,14.2324,63.6761,191.028,0,0
HHCRSP_10_3_99_0.8_C_RC,0.8_C_RC,99,10,3,0.8,C,RC,1,0.002,14.1816,42.0564,126.169,0,0
HHCRSP_10_3_60_1.0_R_RC,1.0_R_RC,60,10,3,1.0,R,RC,1,0.003,14.1855,57.0093,171.028,0,0
HHCRSP_10_3_62_1.0_R_R,1.0_R_R,62,10,3,1.0,R,R,1,0.002,14.1699,67.0097,201.029,0,0
HHCRSP_10_3_31_1.2_R_C,1.2_R_C,31,10,3,1.2,R,C,1,0.003,14.1816,28.3439,85.0317,0,0
HHCRSP_10_3_52_1.2_C_RC,1.2_C_RC,52,10,3,1.2,C,RC,1,0.002,14.1826,18.7229,56.1686,0,0
HHCRSP_10_3_39_0.8_R_C,0.8_R_C,39,10,3,0.8,R,C,1,0.002,14.1953,32.0107,96.0322,0,0
HHCRSP_10_3_58_1.6_C_C,1.6_C_C,58,10,3,1.6,C,C,1,0.002,14.1709,30.6687,92.0062,0,0
HHCRSP_10_3_62_0.4_C_RC,0.4_C_RC,62,10,3,0.4,C,RC,1,0.003,14.1699,61.7098,185.129,0,0
HHCRSP_10_3_67_0.4_C_RC,0.4_C_RC,67,10,3,0.4,C,RC,1,0.003,14.1787,76.0186,228.056,0,0
HHCRSP_10_3_46_0.8_R_RC,0.8_R_RC,46,10,3,0.8,R,RC,62,0.002,14.1758,65.6822,197.047,0,0
HHCRSP_10_3_37_1.2_R_RC,1.2_R_RC,37,10,3,1.2,R,RC,1,0.002,14.1631,57.0566,171.17,0,0
HHCRSP_10_3_74_1.0_C_C,1.0_C_C,74,10,3,1.0,C,C,1,0.003,14.1816,37.0223,111.067,0,0
HHCRSP_10_3_68_0.8_C_C,0.8_C_C,68,10,3,0.8,C,C,1,0.002,14.1475,67.3493,202.048,0,0
HHCRSP_10_3_1_1.2_C_C,1.2_C_C,1,10,3,1.2,C,C,1,0.002,14.1465,62.3814,187.144,0,0
HHCRSP_10_3_44_1.0_R_RC,1.0_R_RC,44,10,3,1.0,R,RC,1,0.003,14.1826,49.348,148.044,0,0
HHCRSP_10_3_97_1.0_R_C,1.0_R_C,97,10,3,1.0,R,C,1,0.002,14.165,64.6706,194.012,0,0
HHCRSP_10_3_87_1.6_C_C,1.6_C_C,87,10,3,1.6,C,C,1,0.002,14.1729,36.3583,109.075,0,0
